gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Grade3,Grade2,Grade1,Fail
male,group D,master's degree,free/reduced,none,74,92,47,0,1,0,0
male,group E,bachelor's degree,standard,completed,63,55,68,0,1,0,0
female,group D,high school,standard,completed,54,47,13,0,0,0,1
male,group C,associate's degree,free/reduced,completed,84,60,62,0,1,0,0
female,group C,bachelor's degree,free/reduced,completed,54,67,42,1,0,0,0
male,group B,bachelor's degree,free/reduced,completed,73,24,87,0,1,0,0
female,group E,high school,standard,completed,45,62,54,1,0,0,0
female,group A,bachelor's degree,standard,completed,65,56,95,0,1,0,0
female,group B,bachelor's degree,standard,none,80,68,63,0,1,0,0
female,group E,high school,free/reduced,none,59,74,67,0,1,0,0
female,group D,master's degree,free/reduced,none,77,83,83,0,0,1,0
male,group B,high school,free/reduced,completed,80,72,85,0,1,0,0
female,group A,master's degree,free/reduced,completed,82,71,44,0,1,0,0
female,group C,some high school,free/reduced,completed,63,49,48,1,0,0,0
male,group A,high school,standard,completed,37,86,83,0,1,0,0
male,group E,associate's degree,free/reduced,completed,65,68,77,0,1,0,0
male,group D,high school,standard,none,53,59,35,1,0,0,0
female,group C,high school,free/reduced,completed,60,79,60,0,1,0,0
male,group A,associate's degree,standard,none,71,70,65,0,1,0,0
male,group E,some high school,free/reduced,completed,60,74,62,0,1,0,0
female,group A,bachelor's degree,free/reduced,completed,65,32,44,1,0,0,0
male,group C,some high school,standard,completed,45,56,63,1,0,0,0
female,group A,some high school,free/reduced,completed,64,42,88,0,1,0,0
male,group A,master's degree,standard,completed,80,77,100,0,0,1,0
female,group A,some high school,standard,none,99,82,65,0,0,1,0
male,group D,bachelor's degree,free/reduced,none,58,74,16,1,0,0,0
female,group A,associate's degree,standard,none,58,76,86,0,1,0,0
male,group D,bachelor's degree,free/reduced,completed,76,85,68,0,1,0,0
male,group A,some high school,free/reduced,none,75,71,70,0,1,0,0
female,group D,associate's degree,free/reduced,completed,72,78,87,0,1,0,0
female,group C,some high school,free/reduced,none,100,74,41,0,1,0,0
male,group D,some high school,standard,none,78,56,43,1,0,0,0
female,group C,some high school,standard,none,78,100,39,0,1,0,0
female,group E,associate's degree,standard,completed,79,89,76,0,0,1,0
female,group A,bachelor's degree,free/reduced,completed,58,75,100,0,1,0,0
female,group A,some high school,standard,completed,64,29,60,1,0,0,0
female,group C,bachelor's degree,free/reduced,none,63,80,56,0,1,0,0
male,group A,associate's degree,standard,completed,81,79,67,0,1,0,0
female,group C,high school,standard,none,86,66,82,0,1,0,0
male,group E,high school,free/reduced,completed,86,71,70,0,1,0,0
male,group D,high school,free/reduced,none,41,75,62,1,0,0,0
female,group D,associate's degree,free/reduced,none,51,50,60,1,0,0,0
male,group C,some high school,standard,none,57,77,25,1,0,0,0
female,group E,bachelor's degree,standard,completed,74,50,69,0,1,0,0
male,group D,associate's degree,free/reduced,completed,24,69,52,1,0,0,0
female,group B,high school,free/reduced,completed,82,50,98,0,1,0,0
female,group B,some high school,free/reduced,completed,59,61,70,0,1,0,0
female,group E,master's degree,free/reduced,none,100,50,39,0,1,0,0
male,group A,master's degree,standard,completed,74,80,46,0,1,0,0
female,group E,bachelor's degree,free/reduced,completed,64,25,39,1,0,0,0
female,group E,bachelor's degree,standard,completed,94,36,88,0,1,0,0
male,group E,bachelor's degree,standard,completed,65,72,84,0,1,0,0
female,group D,high school,free/reduced,completed,70,60,74,0,1,0,0
